LECROYWS454	16215	Waveform
Segments	1	SegmentSize	1002
Segment	TrigTime	TimeSinceSegment1
#1	16-Sep-2022 11:15:48	0                 
Time	Ampl
1.13491e-007	4.9425
1.13991e-007	4.91125
1.14491e-007	4.9425
1.14991e-007	4.88
1.15491e-007	4.84875
1.15991e-007	4.88
1.16491e-007	4.88
1.16991e-007	4.8175
1.17491e-007	4.8175
1.17991e-007	4.88
1.18491e-007	4.84875
1.18991e-007	4.91125
1.19491e-007	4.88
1.19991e-007	4.84875
1.20491e-007	4.91125
1.20991e-007	4.88
1.21491e-007	4.84875
1.21991e-007	4.8175
1.22491e-007	4.84875
1.22991e-007	4.91125
1.23491e-007	4.91125
1.23991e-007	4.91125
1.24491e-007	4.91125
1.24991e-007	4.84875
1.25491e-007	4.84875
1.25991e-007	4.9425
1.26491e-007	4.91125
1.26991e-007	4.84875
1.27491e-007	4.91125
1.27991e-007	4.91125
1.28491e-007	4.88
1.28991e-007	4.88
1.29491e-007	4.88
1.29991e-007	4.91125
1.30491e-007	4.91125
1.30991e-007	4.84875
1.31491e-007	4.84875
1.31991e-007	4.88
1.32491e-007	4.91125
1.32991e-007	4.97375
1.33491e-007	4.91125
1.33991e-007	4.88
1.34491e-007	4.84875
1.34991e-007	4.88
1.35491e-007	4.88
1.35991e-007	4.88
1.36491e-007	4.91125
1.36991e-007	4.91125
1.37491e-007	4.84875
1.37991e-007	4.9425
1.38491e-007	4.9425
1.38991e-007	4.9425
1.39491e-007	4.91125
1.39991e-007	4.88
1.40491e-007	4.8175
1.40991e-007	4.84875
1.41491e-007	4.91125
1.41991e-007	4.91125
1.42491e-007	4.88
1.42991e-007	4.88
1.43491e-007	4.84875
1.43991e-007	4.84875
1.44491e-007	4.91125
1.44991e-007	4.91125
1.45491e-007	4.88
1.45991e-007	4.84875
1.46491e-007	4.84875
1.46991e-007	4.9425
1.47491e-007	4.88
1.47991e-007	4.88
1.48491e-007	4.84875
1.48991e-007	4.88
1.49491e-007	4.9425
1.49991e-007	4.9425
1.50491e-007	4.88
1.50991e-007	4.84875
1.51491e-007	4.8175
1.51991e-007	4.88
1.52491e-007	4.91125
1.52991e-007	4.88
1.53491e-007	4.88
1.53991e-007	4.91125
1.54491e-007	4.88
1.54991e-007	4.9425
1.55491e-007	4.9425
1.55991e-007	4.88
1.56491e-007	4.84875
1.56991e-007	4.88
1.57491e-007	4.84875
1.57991e-007	4.88
1.58491e-007	4.91125
1.58991e-007	4.88
1.59491e-007	4.91125
1.59991e-007	4.9425
1.60491e-007	4.97375
1.60991e-007	4.88
1.61491e-007	4.78625
1.61991e-007	4.78625
1.62491e-007	4.84875
1.62991e-007	4.84875
1.63491e-007	4.8175
1.63991e-007	4.84875
1.64491e-007	4.9425
1.64991e-007	4.9425
1.65491e-007	4.88
1.65991e-007	4.88
1.66491e-007	4.8175
1.66991e-007	4.84875
1.67491e-007	4.8175
1.67991e-007	4.91125
1.68491e-007	4.91125
1.68991e-007	4.88
1.69491e-007	4.88
1.69991e-007	4.91125
1.70491e-007	4.9425
1.70991e-007	4.88
1.71491e-007	4.8175
1.71991e-007	4.9425
1.72491e-007	4.91125
1.72991e-007	4.8175
1.73491e-007	4.84875
1.73991e-007	4.9425
1.74491e-007	4.91125
1.74991e-007	4.84875
1.75491e-007	4.8175
1.75991e-007	4.91125
1.76491e-007	4.88
1.76991e-007	4.91125
1.77491e-007	4.84875
1.77991e-007	4.84875
1.78491e-007	4.84875
1.78991e-007	4.88
1.79491e-007	4.84875
1.79991e-007	4.91125
1.80491e-007	4.91125
1.80991e-007	4.84875
1.81491e-007	4.8175
1.81991e-007	4.88
1.82491e-007	4.91125
1.82991e-007	4.84875
1.83491e-007	4.8175
1.83991e-007	4.84875
1.84491e-007	4.8175
1.84991e-007	4.88
1.85491e-007	4.84875
1.85991e-007	4.88
1.86491e-007	4.88
1.86991e-007	4.8175
1.87491e-007	4.8175
1.87991e-007	4.91125
1.88491e-007	4.91125
1.88991e-007	4.88
1.89491e-007	4.91125
1.89991e-007	4.91125
1.90491e-007	4.88
1.90991e-007	4.84875
1.91491e-007	4.8175
1.91991e-007	4.91125
1.92491e-007	4.84875
1.92991e-007	4.8175
1.93491e-007	4.78625
1.93991e-007	4.84875
1.94491e-007	4.9425
1.94991e-007	4.88
1.95491e-007	4.88
1.95991e-007	4.91125
1.96491e-007	4.88
1.96991e-007	4.84875
1.97491e-007	4.84875
1.97991e-007	4.9425
1.98491e-007	4.88
1.98991e-007	4.8175
1.99491e-007	4.88
1.99991e-007	4.91125
2.00491e-007	4.88
2.00991e-007	4.91125
2.01491e-007	4.91125
2.01991e-007	4.84875
2.02491e-007	4.84875
2.02991e-007	4.9425
2.03491e-007	4.88
2.03991e-007	4.84875
2.04491e-007	4.88
2.04991e-007	4.91125
2.05491e-007	4.91125
2.05991e-007	4.84875
2.06491e-007	4.78625
2.06991e-007	4.78625
2.07491e-007	4.84875
2.07991e-007	4.84875
2.08491e-007	4.8175
2.08991e-007	4.8175
2.09491e-007	4.84875
2.09991e-007	4.84875
2.10491e-007	4.84875
2.10991e-007	4.91125
2.11491e-007	4.8175
2.11991e-007	4.84875
2.12491e-007	4.88
2.12991e-007	4.84875
2.13491e-007	4.8175
2.13991e-007	4.88
2.14491e-007	4.91125
2.14991e-007	4.88
2.15491e-007	4.8175
2.15991e-007	4.91125
2.16491e-007	4.9425
2.16991e-007	4.88
2.17491e-007	4.84875
2.17991e-007	4.88
2.18491e-007	4.88
2.18991e-007	4.88
2.19491e-007	4.8175
2.19991e-007	4.88
2.20491e-007	4.84875
2.20991e-007	4.84875
2.21491e-007	4.84875
2.21991e-007	4.84875
2.22491e-007	4.84875
2.22991e-007	4.84875
2.23491e-007	4.91125
2.23991e-007	4.91125
2.24491e-007	4.84875
2.24991e-007	4.84875
2.25491e-007	4.84875
2.25991e-007	4.84875
2.26491e-007	4.88
2.26991e-007	4.91125
2.27491e-007	4.88
2.27991e-007	4.84875
2.28491e-007	4.88
2.28991e-007	4.88
2.29491e-007	4.88
2.29991e-007	4.88
2.30491e-007	4.91125
2.30991e-007	4.91125
2.31491e-007	4.91125
2.31991e-007	4.91125
2.32491e-007	4.88
2.32991e-007	4.84875
2.33491e-007	4.88
2.33991e-007	4.78625
2.34491e-007	4.78625
2.34991e-007	4.91125
2.35491e-007	4.91125
2.35991e-007	4.84875
2.36491e-007	4.8175
2.36991e-007	4.88
2.37491e-007	4.88
2.37991e-007	4.91125
2.38491e-007	4.8175
2.38991e-007	4.8175
2.39491e-007	4.84875
2.39991e-007	4.91125
2.40491e-007	4.84875
2.40991e-007	4.88
2.41491e-007	4.88
2.41991e-007	4.88
2.42491e-007	4.8175
2.42991e-007	4.8175
2.43491e-007	4.9425
2.43991e-007	4.91125
2.44491e-007	4.78625
2.44991e-007	4.8175
2.45491e-007	4.88
2.45991e-007	4.8175
2.46491e-007	4.84875
2.46991e-007	4.91125
2.47491e-007	4.88
2.47991e-007	4.84875
2.48491e-007	4.84875
2.48991e-007	4.8175
2.49491e-007	4.88
2.49991e-007	4.9425
2.50491e-007	4.88
2.50991e-007	4.8175
2.51491e-007	4.8175
2.51991e-007	4.8175
2.52491e-007	4.88
2.52991e-007	4.88
2.53491e-007	4.84875
2.53991e-007	4.91125
2.54491e-007	4.9425
2.54991e-007	4.9425
2.55491e-007	4.88
2.55991e-007	4.8175
2.56491e-007	4.84875
2.56991e-007	4.84875
2.57491e-007	4.88
2.57991e-007	4.91125
2.58491e-007	4.88
2.58991e-007	4.84875
2.59491e-007	4.84875
2.59991e-007	4.84875
2.60491e-007	4.78625
2.60991e-007	4.8175
2.61491e-007	4.88
2.61991e-007	4.91125
2.62491e-007	4.88
2.62991e-007	4.8175
2.63491e-007	4.8175
2.63991e-007	4.84875
2.64491e-007	4.91125
2.64991e-007	4.91125
2.65491e-007	4.88
2.65991e-007	4.84875
2.66491e-007	4.8175
2.66991e-007	4.88
2.67491e-007	4.84875
2.67991e-007	4.84875
2.68491e-007	4.84875
2.68991e-007	4.88
2.69491e-007	4.84875
2.69991e-007	4.84875
2.70491e-007	4.8175
2.70991e-007	4.8175
2.71491e-007	4.84875
2.71991e-007	4.88
2.72491e-007	4.88
2.72991e-007	4.88
2.73491e-007	4.88
2.73991e-007	4.84875
2.74491e-007	4.8175
2.74991e-007	4.88
2.75491e-007	4.88
2.75991e-007	4.78625
2.76491e-007	4.84875
2.76991e-007	4.91125
2.77491e-007	4.8175
2.77991e-007	4.84875
2.78491e-007	4.88
2.78991e-007	4.84875
2.79491e-007	4.88
2.79991e-007	4.84875
2.80491e-007	4.84875
2.80991e-007	4.91125
2.81491e-007	4.91125
2.81991e-007	4.88
2.82491e-007	4.8175
2.82991e-007	4.84875
2.83491e-007	4.8175
2.83991e-007	4.8175
2.84491e-007	4.88
2.84991e-007	4.88
2.85491e-007	4.8175
2.85991e-007	4.78625
2.86491e-007	4.84875
2.86991e-007	4.88
2.87491e-007	4.8175
2.87991e-007	4.8175
2.88491e-007	4.84875
2.88991e-007	4.91125
2.89491e-007	4.84875
2.89991e-007	4.84875
2.90491e-007	4.88
2.90991e-007	4.84875
2.91491e-007	4.8175
2.91991e-007	4.8175
2.92491e-007	4.8175
2.92991e-007	4.8175
2.93491e-007	4.88
2.93991e-007	4.9425
2.94491e-007	4.84875
2.94991e-007	4.84875
2.95491e-007	4.84875
2.95991e-007	4.84875
2.96491e-007	4.6925
2.96991e-007	3.97375
2.97491e-007	2.66125
2.97991e-007	1.3175
2.98491e-007	0.63
2.98991e-007	0.0675
2.99491e-007	-0.245
2.99991e-007	-0.5575
3.00491e-007	-0.71375
3.00991e-007	-0.8075
3.01491e-007	-0.87
3.01991e-007	-0.87
3.02491e-007	-0.8075
3.02991e-007	-0.9325
3.03491e-007	-1.0575
3.03991e-007	-1.02625
3.04491e-007	-1.02625
3.04991e-007	-0.96375
3.05491e-007	-0.96375
3.05991e-007	-1.02625
3.06491e-007	-0.995
3.06991e-007	-0.9325
3.07491e-007	-0.8075
3.07991e-007	-0.62
3.08491e-007	-0.495
3.08991e-007	-0.37
3.09491e-007	-0.245
3.09991e-007	-0.245
3.10491e-007	-0.12
3.10991e-007	-0.02625
3.11491e-007	0.005
3.11991e-007	0.005
3.12491e-007	0.09875
3.12991e-007	0.13
3.13491e-007	0.0675
3.13991e-007	0.0675
3.14491e-007	0.16125
3.14991e-007	0.13
3.15491e-007	0.09875
3.15991e-007	0.005
3.16491e-007	0.0675
3.16991e-007	0.13
3.17491e-007	0.09875
3.17991e-007	0.03625
3.18491e-007	0.03625
3.18991e-007	0.03625
3.19491e-007	0.005
3.19991e-007	0.005
3.20491e-007	0.005
3.20991e-007	-0.0575
3.21491e-007	-0.0575
3.21991e-007	-0.08875
3.22491e-007	-0.12
3.22991e-007	-0.12
3.23491e-007	-0.08875
3.23991e-007	-0.12
3.24491e-007	-0.08875
3.24991e-007	-0.08875
3.25491e-007	-0.08875
3.25991e-007	-0.1825
3.26491e-007	-0.08875
3.26991e-007	-0.08875
3.27491e-007	-0.12
3.27991e-007	-0.12
3.28491e-007	-0.12
3.28991e-007	-0.15125
3.29491e-007	-0.0575
3.29991e-007	-0.0575
3.30491e-007	-0.12
3.30991e-007	-0.0575
3.31491e-007	-0.0575
3.31991e-007	-0.0575
3.32491e-007	-0.0575
3.32991e-007	-0.08875
3.33491e-007	-0.02625
3.33991e-007	-0.08875
3.34491e-007	-0.0575
3.34991e-007	-0.0575
3.35491e-007	-0.0575
3.35991e-007	-0.08875
3.36491e-007	-0.08875
3.36991e-007	-0.0575
3.37491e-007	-0.12
3.37991e-007	-0.08875
3.38491e-007	0.03625
3.38991e-007	-0.0575
3.39491e-007	-0.12
3.39991e-007	-0.12
3.40491e-007	-0.0575
3.40991e-007	-0.0575
3.41491e-007	-0.0575
3.41991e-007	-0.12
3.42491e-007	-0.0575
3.42991e-007	-0.02625
3.43491e-007	-0.02625
3.43991e-007	-0.08875
3.44491e-007	-0.02625
3.44991e-007	-0.0575
3.45491e-007	-0.12
3.45991e-007	-0.12
3.46491e-007	-0.08875
3.46991e-007	-0.15125
3.47491e-007	-0.0575
3.47991e-007	-0.0575
3.48491e-007	-0.12
3.48991e-007	-0.08875
3.49491e-007	-0.02625
3.49991e-007	-0.0575
3.50491e-007	-0.0575
3.50991e-007	-0.08875
3.51491e-007	-0.08875
3.51991e-007	-0.0575
3.52491e-007	-0.0575
3.52991e-007	-0.0575
3.53491e-007	-0.0575
3.53991e-007	-0.0575
3.54491e-007	-0.0575
3.54991e-007	-0.0575
3.55491e-007	-0.08875
3.55991e-007	-0.08875
3.56491e-007	-0.02625
3.56991e-007	-0.0575
3.57491e-007	-0.08875
3.57991e-007	-0.12
3.58491e-007	-0.08875
3.58991e-007	-0.12
3.59491e-007	-0.0575
3.59991e-007	-0.0575
3.60491e-007	0.005
3.60991e-007	0.005
3.61491e-007	-0.02625
3.61991e-007	-0.08875
3.62491e-007	-0.0575
3.62991e-007	-0.0575
3.63491e-007	0.005
3.63991e-007	-0.0575
3.64491e-007	-0.0575
3.64991e-007	-0.02625
3.65491e-007	-0.02625
3.65991e-007	-0.0575
3.66491e-007	-0.08875
3.66991e-007	-0.08875
3.67491e-007	-0.02625
3.67991e-007	-0.02625
3.68491e-007	-0.0575
3.68991e-007	-0.08875
3.69491e-007	0.005
3.69991e-007	-0.0575
3.70491e-007	-0.08875
3.70991e-007	0.005
3.71491e-007	-0.02625
3.71991e-007	-0.08875
3.72491e-007	-0.08875
3.72991e-007	-0.0575
3.73491e-007	0.005
3.73991e-007	-0.0575
3.74491e-007	-0.08875
3.74991e-007	-0.0575
3.75491e-007	-0.02625
3.75991e-007	0.005
3.76491e-007	0.005
3.76991e-007	0.005
3.77491e-007	0.005
3.77991e-007	-0.0575
3.78491e-007	-0.0575
3.78991e-007	-0.0575
3.79491e-007	-0.02625
3.79991e-007	-0.08875
3.80491e-007	-0.02625
3.80991e-007	-0.0575
3.81491e-007	-0.0575
3.81991e-007	-0.12
3.82491e-007	0.005
3.82991e-007	0.005
3.83491e-007	0.005
3.83991e-007	-0.0575
3.84491e-007	-0.08875
3.84991e-007	-0.0575
3.85491e-007	-0.0575
3.85991e-007	-0.0575
3.86491e-007	-0.02625
3.86991e-007	-0.12
3.87491e-007	-0.0575
3.87991e-007	0.005
3.88491e-007	-0.02625
3.88991e-007	-0.08875
3.89491e-007	-0.0575
3.89991e-007	-0.0575
3.90491e-007	-0.0575
3.90991e-007	-0.02625
3.91491e-007	0.005
3.91991e-007	-0.02625
3.92491e-007	-0.0575
