# Acquisition started at 11/08/2022 - 12:06:46 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
374	011	2	10	14		1007
375	011	2	10	30		712
376	011	2	10	2		747
377	011	2	10	6		906
378	011	2	10	16		706
379	011	2	10	16		781
380	011	2	10	30		764
381	011	2	10	0		722
382	011	2	10	8		741
383	011	2	10	10		765
384	011	2	10	17		673
385	011	2	10	4		770
386	011	2	10	30		699
387	011	2	10	17		669
388	011	2	10	6		800
389	011	2	10	11		681
390	011	2	10	29		730
391	011	2	10	1		712
392	011	2	10	24		693
393	011	2	10	29		741
394	011	2	10	6		715
395	011	2	10	24		727
396	011	2	10	15		789
397	011	2	10	2		776
398	011	2	10	22		722
399	011	2	10	30		750
400	011	2	10	4		745
401	011	2	10	6		785
402	011	2	10	27		800
403	011	2	11	0		0
404	011	2	10	22		741
405	011	2	10	1		705
406	011	2	10	28		706
407	011	2	10	30		712
408	011	2	10	9		692
409	011	2	10	4		709
410	011	2	10	24		688
411	011	2	10	21		703
412	011	2	10	1		777
413	011	2	10	15		743
414	011	2	10	30		757
415	011	2	10	26		1005
416	011	2	10	16		701
417	011	2	10	20		736
418	011	2	10	30		721
419	011	2	10	9		712
420	011	2	10	15		705
421	011	2	10	10		1091
422	011	2	10	22		745
423	011	2	10	30		736
424	011	2	10	14		720
425	011	2	10	4		733
426	011	2	10	21		670
427	011	2	10	30		774
428	011	2	10	22		754
429	011	2	10	26		715
430	011	2	10	4		728
431	011	2	10	4		719
432	011	2	10	29		752
433	011	2	10	22		808
434	011	2	10	15		818
435	011	2	10	2		676
436	011	2	10	30		715
437	011	2	10	7		747
438	011	2	10	1		736
439	011	2	10	2		690
440	011	2	10	0		695
441	011	2	10	6		730
442	011	2	10	20		680
443	011	2	10	8		674
444	011	2	10	13		890
445	011	2	10	30		746
446	011	2	10	29		722
447	011	2	10	15		702
448	011	2	10	4		765
449	011	2	10	30		746
450	011	2	10	21		681
451	011	2	10	11		713
452	011	2	10	20		708
453	011	2	10	6		778
454	011	2	10	22		721
455	011	2	10	26		945
456	011	2	10	30		710
457	011	2	10	0		691
458	011	2	10	15		789
459	011	2	10	28		759
460	011	2	10	7		697
461	011	2	10	30		702
462	011	2	10	5		682
463	011	2	10	31		1274
464	011	2	10	21		925
465	011	2	10	30		723
466	011	2	10	30		820
467	011	2	10	22		704
468	011	2	10	14		751
469	011	2	10	21		687
470	011	2	10	30		708
471	011	2	10	30		700
472	011	2	10	30		712
473	011	2	10	0		711
474	011	2	10	30		725
475	011	2	10	17		786
476	011	2	10	0		708
477	011	2	10	30		714
478	011	2	10	0		733
479	011	2	10	20		779
480	011	2	10	2		674
481	011	2	10	29		712
482	011	2	10	14		764
483	011	2	10	22		697
484	011	2	10	29		1097
485	011	2	10	13		692
486	011	2	10	0		722
487	011	2	10	30		746
488	011	2	10	4		730
489	011	2	10	9		699
490	000	2	00	22		738
490	011	2	10	23		815
491	011	2	10	21		762
492	011	2	10	2		675
493	011	2	10	22		717
494	011	2	10	21		747
495	011	2	10	20		699
496	011	2	10	26		717
497	011	2	10	0		715
498	011	2	10	30		752
499	011	2	10	30		801
500	011	2	10	3		690
501	000	2	00	0		826
501	011	2	10	1		709
502	011	2	10	21		697
503	011	2	10	30		718
504	011	2	10	20		688
505	011	2	10	6		741
506	011	2	10	10		737
507	011	2	10	0		725
508	011	2	10	27		734
509	011	2	10	29		944
510	011	2	10	2		846
511	011	2	10	20		915
512	011	2	10	30		709
513	011	2	10	31		808
514	011	2	10	0		745
515	011	2	10	20		696
516	011	2	10	0		712
517	011	2	10	11		862
518	011	2	10	19		693
519	011	2	10	17		665
520	011	2	10	24		836
521	011	2	10	30		743
522	011	2	10	0		791
523	011	2	10	14		691
524	011	2	10	17		672
525	011	2	10	4		814
526	011	2	10	1		738
527	011	2	10	0		710
528	011	2	10	26		705
529	000	2	00	29		727
529	011	2	10	30		726
530	011	2	10	13		878
531	011	2	10	15		800
532	011	2	10	0		695
533	011	2	10	8		661
534	011	2	10	5		781
535	011	2	10	24		689
536	011	2	10	1		770
537	011	2	10	2		746
538	011	2	10	7		904
539	011	2	10	3		752
540	011	2	10	27		772
541	011	2	10	26		827
542	011	2	10	4		794
543	011	2	10	1		724
544	011	2	10	3		844
545	011	2	10	0		795
546	011	2	10	30		752
547	011	2	10	28		721
548	000	2	00	6		813
548	011	2	10	7		678
549	011	2	10	28		678
550	011	2	10	7		686
551	011	2	10	30		729
552	011	2	10	29		723
553	011	2	10	9		677
554	011	2	11	0		0
555	011	2	10	30		756
556	011	2	10	22		763
557	011	2	10	30		714
558	011	2	10	31		711
559	011	2	10	7		684
560	011	2	10	21		730
561	011	2	10	15		701
562	011	2	10	30		724
563	011	2	10	22		724
564	011	2	10	22		740
565	011	2	10	21		678
566	011	2	10	19		672
567	011	2	10	2		689
568	011	2	10	30		837
569	011	2	10	29		731
570	011	2	10	14		720
571	011	2	10	15		729
572	011	2	10	20		717
573	011	2	10	25		697
574	011	2	10	19		686
575	011	2	10	23		686
576	011	2	10	9		704
577	011	2	10	22		1169
578	011	2	10	10		776
579	011	2	10	30		702
580	011	2	10	13		792
581	011	2	10	20		710
582	011	2	10	26		693
583	011	2	10	2		690
584	011	2	10	18		698
585	011	2	10	22		705
586	011	2	10	30		754
587	011	2	10	27		721
588	011	2	10	15		709
589	011	2	10	30		727
590	011	2	10	27		695
591	011	2	10	17		661
592	011	2	10	0		757
593	011	2	10	28		723
594	011	2	10	29		738
595	011	2	10	20		955
596	011	2	10	21		701
597	011	2	10	15		698
598	011	2	10	30		701
599	011	2	10	4		826
600	011	2	10	24		759
601	011	2	10	15		764
602	011	2	10	0		699
603	011	2	10	29		727
604	011	2	10	2		948
605	011	2	10	6		717
606	011	2	10	7		729
607	011	2	10	31		711
608	011	2	10	2		680
609	011	2	10	29		756
610	011	2	10	22		745
611	011	2	10	0		703
612	011	2	10	14		702
613	011	2	10	6		732
614	011	2	10	12		723
615	011	2	10	0		709
616	000	2	00	8		738
616	011	2	10	9		811
617	011	2	10	30		776
618	011	2	10	14		689
619	011	2	10	30		716
620	011	2	10	0		751
621	011	2	10	4		706
622	011	2	10	14		709
623	011	2	10	23		925
624	011	2	10	30		749
625	011	2	10	30		703
626	011	2	10	20		677
627	011	2	10	4		726
628	011	2	10	8		845
629	011	2	10	2		729
630	011	2	10	18		874
631	011	2	10	7		707
632	011	2	10	2		1009
633	011	2	10	30		744
634	011	2	10	30		743
635	011	2	10	2		805
636	011	2	10	7		700
637	011	2	10	6		737
638	011	2	10	7		687
639	011	2	10	16		716
640	011	2	10	28		691
641	011	2	10	4		746
642	011	2	10	1		734
643	011	2	10	28		686
644	011	2	10	14		807
645	011	2	10	12		750
646	011	2	10	30		715
647	011	2	10	0		732
648	011	2	10	4		827
649	011	2	10	15		709
650	011	2	10	4		720
